date,chlorophyll_a,temperature,dissolved_oxygen,pH,Salinity,Turbidity,conductivity
2023-08-04 23:00:00,1.70275,19.95975,7.44025,8.169,35.22125,2.0415,53.2705
2023-08-04 23:30:00,1.941,19.932666666666663,7.436333333333333,8.168,35.226333333333336,1.9723333333333333,53.27733333333333
2023-08-05 00:00:00,1.443,19.822,7.459,8.159,35.271,2.033,53.337
2023-08-05 00:30:00,1.433,19.804,7.446,8.166,35.273,1.995,53.339
2023-08-05 01:00:00,1.499,19.77,7.454,8.168,35.283,1.973,53.353
2023-08-05 01:30:00,1.083,19.741,7.447,8.167,35.29,2.014,53.362
2023-08-05 02:00:00,1.001,19.712,7.426,8.17,35.292,1.845,53.365
2023-08-05 02:30:00,1.435,19.711,7.404,8.169,35.29,1.861,53.363
2023-08-05 03:00:00,1.176,19.703,7.198,8.17,35.293,2.397,53.366
2023-08-05 03:30:00,1.287,19.701,7.204,8.174,35.284,2.34,53.355
2023-08-05 04:00:00,1.421,19.652,4.89,8.166,35.272,3.375,53.338
2023-08-05 04:30:00,1.286,19.634,6.78,8.168,35.276,2.213,53.343
2023-08-05 05:00:00,1.888,19.59,7.145,8.169,35.271,2.074,53.336
2023-08-05 05:30:00,1.427,19.585,6.646,8.168,35.267,2.498,53.331
2023-08-05 06:00:00,1.953,19.555,7.301,8.161,35.271,1.689,53.336
2023-08-05 06:30:00,2.47,19.539,7.022,8.164,35.278,3.742,53.346
2023-08-05 07:00:00,2.042,19.371,6.942,8.166,35.203,2.154,53.245
2023-08-05 07:30:00,1.865,19.367,7.276,8.162,35.166,1.628,53.195
2023-08-05 08:00:00,1.458,19.444,7.261,8.162,35.205,1.899,53.247
2023-08-05 08:30:00,1.082,19.451,7.221,8.163,35.154,1.756,53.178
2023-08-05 09:00:00,1.083,19.534,7.222,8.159,35.204,1.935,53.247
2023-08-05 09:30:00,0.934,19.611,7.257,8.155,35.271,2.145,53.336
2023-08-05 10:00:00,1.022,19.623,7.287,8.153,35.269,2.298,53.334
2023-08-05 10:30:00,0.694,19.663,7.332,8.155,35.272,2.195,53.338
2023-08-05 11:00:00,0.639,19.81,7.457,8.155,35.277,1.988,53.345
2023-08-05 11:30:00,0.926,19.849,7.451,8.155,35.268,2.014,53.334
2023-08-05 12:00:00,0.806,19.913,7.502,8.159,35.265,1.717,53.329
2023-08-05 12:30:00,0.453,20.007,7.56,8.158,35.248,1.684,53.307
2023-08-05 13:00:00,0.606,20.21,7.658,8.162,35.274,1.824,53.342
2023-08-05 13:30:00,0.548,20.368,7.717,8.164,35.276,1.876,53.346
2023-08-05 14:00:00,0.77,20.415,7.741,8.163,35.275,1.836,53.345
2023-08-05 14:30:00,1.252,20.439,7.7725,8.165,35.266,1.7365,53.3335
2023-08-05 15:00:00,1.734,20.463,7.804,8.167,35.257,1.637,53.322
2023-08-05 15:30:00,2.185,20.391,7.792,8.169,35.255,1.681,53.318
2023-08-05 16:00:00,2.377,20.37,7.808,8.171,35.258,1.717,53.322
2023-08-05 16:30:00,2.109,20.428,7.825,8.171,35.238,1.666,53.296
2023-08-05 17:00:00,1.925,20.37,7.807,8.17,35.239,1.606,53.297
2023-08-05 17:30:00,2.378,20.344,7.781,8.171,35.239,1.621,53.296
2023-08-05 18:00:00,3.12,20.308,7.779,8.172,35.243,1.612,53.302
2023-08-05 18:30:00,3.439,20.292,7.754,8.17,35.242,1.728,53.3
2023-08-05 19:00:00,3.631,20.286,7.73,8.169,35.236,1.729,53.292
2023-08-05 19:30:00,2.7,20.242,7.667,8.162,35.22,1.994,53.27
